repositoryName1,repositoryName2,intersectionSize,similarity
AgNO3/jcifs-ng,codelibs/jcifs,13,1.0
stefan-zobel/streamsupport,streamsupport/streamsupport,10,1.0
Bukkit/Bukkit,SpigotMC/Spigot-API,18,1.0
Tencent/RapidView,luaj/luaj,9,1.0
zuihou/lamp-boot,zuihou/lamp-cloud,40,1.0
dddplus/dddplus,funkygao/cp-ddd-framework,37,1.0
geometer/FBReader-Android-2,geometer/FBReaderJ,17,0.94
niaobulashi/ruoyi,yangzongzhuan/RuoYi-Vue,23,0.85
graalvm/simplelanguage,mr-hashemi/mr-hashemi,24,0.83
yinwang0/pysonar2,yinwang0/rubysonar,5,0.83
ulisesbocchio/spring-boot-security-saml,vdenotaris/spring-boot-security-saml-sample,10,0.83
aionnetwork/aion,taycaldwell/riot-api-java,5,0.83
FasterXML/jackson-dataformat-yaml,FasterXML/jackson-dataformats-text,9,0.82
DarLiner/vjtools,vipshop/vjtools,31,0.79
antlr/antlr4,tunnelvisionlabs/antlr4cs,36,0.78
bastillion-io/Bastillion,bastillion-io/Bastillion-EC2,16,0.76
eclipsesource/J2V8,radsz/jacop,6,0.75
opentelecoms-org/jsmpp,uudashr/jsmpp,8,0.73
databricks/learning-spark,holdenk/learning-spark-examples,13,0.72
radsz/jacop,vdurmont/semver4j,5,0.71
mangstadt/biweekly,mangstadt/ez-vcard,15,0.71
oskopek/javaanpr,vdurmont/semver4j,5,0.71
TooTallNate/Java-WebSocket,zeroturnaround/zt-zip,5,0.71
OpenConext/Mujina,vdenotaris/spring-boot-security-saml-sample,10,0.71
eclipsesource/J2V8,vdurmont/semver4j,5,0.71
OpenConext/Mujina,ulisesbocchio/spring-boot-security-saml,10,0.71
aionnetwork/aion,zeroturnaround/zt-zip,5,0.71
lerry903/RuoYi,seagull1985/LuckyFrameWeb,38,0.7
